Player ID,Date,Team,Opponent,Rebounds,Predicted Rebounds (Linear Model),Predicted Rebounds (Random Forest)
agbajoc01,2024-03-03,TOR,CHO,9.0,5.134901354827811,4.66
agbajoc01,2024-03-05,TOR,NOP,3.0,2.1425274856459144,1.98
agbajoc01,2024-03-07,TOR,PHO,4.0,6.654758405783563,6.72
agbajoc01,2024-03-09,TOR,POR,1.0,2.0062469132155427,1.88
agbajoc01,2024-03-11,TOR,DEN,2.0,2.9835671650571793,3.34
agbajoc01,2024-03-13,TOR,DET,1.0,0.9832644652018084,1.0
agbajoc01,2024-03-15,TOR,ORL,4.0,3.0471129339098844,3.14
agbajoc01,2024-03-17,TOR,ORL,7.0,4.135346139741618,2.9
agbajoc01,2024-03-20,TOR,SAC,3.0,3.5959396146034353,3.51
agbajoc01,2024-03-22,TOR,OKC,7.0,7.107582211945091,6.79
agbajoc01,2024-03-23,TOR,WAS,9.0,5.985166623834476,3.9
agbajoc01,2024-03-25,TOR,BRK,5.0,5.999990119687952,5.93
agbajoc01,2024-03-27,TOR,NYK,1.0,5.0207559408650955,4.77
agbajoc01,2024-04-05,TOR,MIL,8.0,6.3871165416872655,7.12
agbajoc01,2024-04-07,TOR,WAS,3.0,1.9387436160801454,2.07
agbajoc01,2024-04-09,TOR,IND,3.0,5.590982138917211,5.02
agbajoc01,2024-04-10,TOR,BRK,1.0,1.9588172865296283,2.34
agbajoc01,2024-04-12,TOR,MIA,1.0,1.9421570003680413,1.69
agbajoc01,2024-04-14,TOR,MIA,6.0,3.4929357919651034,2.15
aldamsa01,2023-11-05,MEM,POR,5.0,8.049109529768419,8.26
aldamsa01,2023-11-08,MEM,MIA,8.0,4.470518691127565,3.2
aldamsa01,2023-11-10,MEM,UTA,2.0,3.4852158129060227,3.29
aldamsa01,2023-11-12,MEM,LAC,3.0,5.5735740983367075,5.49
aldamsa01,2023-11-14,MEM,LAL,5.0,3.4027184348515322,4.1
aldamsa01,2023-11-18,MEM,SAS,10.0,6.560676111301906,6.42
aldamsa01,2023-11-19,MEM,BOS,12.0,8.723550462922411,7.98
aldamsa01,2023-11-22,MEM,HOU,2.0,6.177530571036184,5.01
aldamsa01,2023-11-24,MEM,PHO,5.0,8.590563630593854,8.57
aldamsa01,2023-11-26,MEM,MIN,7.0,4.376078357888622,2.81
aldamsa01,2023-11-29,MEM,UTA,4.0,4.504353365435877,4.3
aldamsa01,2023-12-01,MEM,DAL,12.0,9.669319393096005,10.06
aldamsa01,2023-12-02,MEM,PHO,7.0,5.531953584575568,5.27
aldamsa01,2023-12-06,MEM,DET,3.0,7.524055347655717,7.03
aldamsa01,2023-12-08,MEM,MIN,10.0,8.469167383318814,9.09
aldamsa01,2023-12-11,MEM,DAL,2.0,2.3758015048661854,2.47
aldamsa01,2023-12-13,MEM,HOU,5.0,7.553788092576584,7.67
aldamsa01,2023-12-15,MEM,HOU,4.0,2.9730334048668214,2.94
aldamsa01,2023-12-18,MEM,OKC,9.0,7.038666538400413,6.6
